,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode
65,House,"11153 Byrd Dr, Fairfax, VA 22030",5,2.0,3250,Fairfax,VA,22030
66,House,"6805 Tennyson Dr, McLean, VA 22101",4,3.0,3800,McLean,VA,22101
67,Townhouse,"8093 Steeple Chase Ct, Springfield, VA 22153",3,3.0,2700,Springfield,VA,22153
68,House,"8301 Deep Valley Ct, Springfield, VA 22153",4,3.5,3500,Springfield,VA,22153
69,Townhouse,"8179 Curving Creek Ct, Springfield, VA 22153",3,2.5,2595,Springfield,VA,22153
70,Townhouse,"1528 Poplar Grove Dr, Reston, VA 20194",3,4.0,3000,Reston,VA,20194
71,House,"8811 Parliament Dr, Springfield, VA 22151",4,2.5,3100,Springfield,VA,22151
72,House,"7951 Hidden Bridge Dr, Springfield, VA 22153",3,4.0,3000,Springfield,VA,22153
73,Townhouse,"1110 Floyd Place, Herndon, VA 20170",3,4.0,2550,Herndon,VA,20170
74,Townhouse,"13126 Plotner Farm Rd, Herndon, VA 20171",3,3.5,3000,Herndon,VA,20171
75,House,"6649 Tansey Dr, Falls Church, VA 22042",6,4.5,6000,Falls Church,VA,22042
76,House,"14828 Wood Home Rd, Centreville, VA 20120",5,3.0,3850,Centreville,VA,20120
77,Townhouse,"6167 Stonepath Cir, Centreville, VA 20120",3,3.0,2600,Centreville,VA,20120
78,House,"6795 Stockwell Manor Dr, Falls Church, VA 22043",5,4.5,6000,Falls Church,VA,22043
79,Townhouse,"1380 Park Garden Ln, Reston, VA 20194",3,3.5,3400,Reston,VA,20194
80,House,"6208 Tally Ho Ln, Alexandria, VA 22307",3,3.5,4000,Alexandria,VA,22307
81,House,"7611 Holiday Dr, Alexandria, VA 22308",3,3.0,4000,Alexandria,VA,22308
82,Townhouse,"7804 Colonial Springs Blvd, Alexandria, VA 22306",3,2.5,2900,Alexandria,VA,22306
83,House,"6609 Berkshire Dr, Alexandria, VA 22310",4,2.0,3300,Alexandria,VA,22310
84,Townhouse,"8230 Crestmont Cir, Springfield, VA 22153",2,2.0,2100,Springfield,VA,22153
85,House,"5925 Brookview Dr, Alexandria, VA 22310",3,2.5,3500,Alexandria,VA,22310
86,Townhouse,"5035 Cool Fountain Ln, Centreville, VA 20120",3,4.0,2800,Centreville,VA,20120
87,Townhouse,"13588 Big Boulder Rd, Herndon, VA 20171",4,3.5,3200,Herndon,VA,20171
88,Townhouse,"1679 Bayfield Way, Reston, VA 20194",3,2.5,3000,Reston,VA,20194
89,Townhouse,"6644 Elk Park Ct, Alexandria, VA 22310",3,2.5,2825,Alexandria,VA,22310
90,Townhouse,"2646 Jetstream Rd, Oak Hill, VA 20171",4,4.0,3290,Oak Hill,VA,20171
91,House,"9810 Meadow Dale Ct, Vienna, VA 22181",4,2.5,3900,Vienna,VA,22181
92,House,"6124 Union Village Dr, Clifton, VA 20124",5,3.5,4000,Clifton,VA,20124
93,Townhouse,"8367 Millwood Dr, Springfield, VA 22152",3,2.5,3400,Springfield,VA,22152
94,Townhouse,"1451 Bluemont Ct, Herndon, VA 20170",3,3.5,3400,Herndon,VA,20170
95,Townhouse,"9068 Blarney Stone Dr, Springfield, VA 22152",3,3.5,3000,Springfield,VA,22152
96,House,"12018 Stuart Ridge Dr, Herndon, VA 20170",5,3.0,3200,Herndon,VA,20170
97,Townhouse,"7718 Lafayette Forest Dr Unit 11, Annandale, VA 22003",2,2.0,2200,Annandale,VA,22003
98,Townhouse,"6336 Chimney Wood Ct, Alexandria, VA 22306",2,2.5,2550,Alexandria,VA,22306
99,House,"7035 Quander Rd, Alexandria, VA 22307",3,3.0,3695,Alexandria,VA,22307
100,Townhouse,"2104 Eluna Ct, Vienna, VA 22182",3,3.5,3400,Vienna,VA,22182
101,House,"5430 Ashleigh Rd, Fairfax, VA 22030",5,4.5,4300,Fairfax,VA,22030
102,Townhouse,"10629 Lakeside Oak Ct, Burke, VA 22015",3,4.0,3000,Burke,VA,22015
103,House,"7432 Berwick Ct, Alexandria, VA 22315",4,2.5,3350,Alexandria,VA,22315
104,Townhouse,"7222 Evanston Rd, Springfield, VA 22150",3,2.5,3150,Springfield,VA,22150
105,Townhouse,"2926 Bridgehampton Ct, Falls Church, VA 22042",3,4.0,3400,Falls Church,VA,22042
106,Townhouse,"2013 Gallows Tree Ct, Vienna, VA 22182",3,4.0,3700,Vienna,VA,22182
107,Townhouse,"6012 Kestner Cir, Alexandria, VA 22315",3,3.5,3000,Alexandria,VA,22315
