,Title,Address,Bedroom,Bathroom,Price
197,Townhouse for Rent,"2837 28th St SE Unit 2, Washington, DC 20020",2,Na,1500 per month
198,House for Rent,"2927 Arizona Ave NW, Washington, DC 20016",5,4.5,14700 per month
199,Townhouse for Rent,"2011 Benning Rd NE Unit 4, Washington, DC 20002",3,2.0,3300 per month
200,Townhouse for Rent,"2011 Benning Rd NE Unit 3, Washington, DC 20002",3,2.0,3300 per month
201,Townhouse for Rent,"719 Quebec Place NW Unit TWO, Washington, DC 20010",5,3.5,7500 per month
202,House for Rent,"1620 Foxhall Rd NW, Washington, DC 20007",5,4.5,10500 per month
203,Townhouse for Rent,"3423 O St NW, Washington, DC 20007",2,2.5,7500 per month
204,Townhouse for Rent,Unlisted Address,3,2.0,2995 per month
205,House for Rent,"45 Sutton Square SW Unit 908, Washington, DC 20024",3,3.5,20000 per month
206,Townhouse for Rent,"1805 3rd St NE, Washington, DC 20002",5,3.5,5000 per month
207,Townhouse for Rent,"135 Hamilton St NW, Washington, DC 20011",3,2.0,3600 per month
208,Townhouse for Rent,"1513 Van Buren St NW, Washington, DC 20012",5,4.5,4000 per month
209,Townhouse for Rent,"3653 13th St NW, Washington, DC 20010",3,2.0,3400 per month
210,Townhouse for Rent,"901 26th St NW Unit 907, Washington, DC 20037",2,2.5,6750 per month
211,House for Rent,"1255 22nd St NW Unit 2 BEDROOM, Washington, DC 20037",2,2.0,5100 per month
212,House for Rent,"2425 Foxhall Rd NW, Washington, DC 20007",7,10.0,40000 per month
213,Townhouse for Rent,"916 12th St NE Unit 1, Washington, DC 20002",3,3.0,3995 per month
214,Townhouse for Rent,"1157 Oates St NE Unit B, Washington, DC 20002",3,3.0,4500 per month
215,House for Rent,"1255 22nd St NW Unit 309, Washington, DC 20037",4,4.0,9750 per month
216,Townhouse for Rent,"2017 N St NW, Washington, DC 20036",3,2.5,8500 per month
217,Townhouse for Rent,"1244 34th St NW, Washington, DC 20007",2,2.0,10000 per month
218,House for Rent,"1414 35th St NW, Washington, DC 20007",4,2.0,10995 per month
219,Townhouse for Rent,"1208 G St SE, Washington, DC 20003",2,1.5,4000 per month
220,Townhouse for Rent,"5326 9th St NW, Washington, DC 20011",3,2.5,4000 per month
221,Townhouse for Rent,"44 R St NE, Washington, DC 20002",3,2.5,4800 per month
222,Townhouse for Rent,"43 New York Ave NW Unit 1, Washington, DC 20001",2,Na,3295 per month
223,Townhouse for Rent,"1324 Dexter Terrace SE, Washington, DC 20020",2,Na,2200 per month
224,Townhouse for Rent,"454 Delafield Place NW, Washington, DC 20011",4,3.5,3650 per month
225,Townhouse for Rent,"60 Q St NW, Washington, DC 20001",4,3.5,4650 per month
226,Townhouse for Rent,"838 Madison St NW, Washington, DC 20011",4,2.0,3200 per month
227,Townhouse for Rent,"613 Buchanan St NE, Washington, DC 20017",3,2.5,3250 per month
228,House for Rent,"2912 26th St NE, Washington, DC 20018",5,4.5,6500 per month
229,Townhouse for Rent,"3831 S St NW, Washington, DC 20007",4,4.0,6300 per month
230,Townhouse for Rent,"4222 8th St NW Unit 1, Washington, DC 20011",4,4.0,4000 per month
231,House for Rent,"1307 S St SE, Washington, DC 20020",3,1.5,3300 per month
232,Townhouse for Rent,"2123 15th St SE, Washington, DC 20020",4,3.5,3500 per month
233,House for Rent,"6017 New Hampshire Ave NE, Washington, DC 20011",3,2.0,3500 per month
234,Townhouse for Rent,"2211 14th St NE, Washington, DC 20018",3,Na,2950 per month
235,Townhouse for Rent,"6 W St NW, Washington, DC 20001",4,3.5,4800 per month
236,House for Rent,"1620 21st Place SE Unit 2, Washington, DC 20020",3,Na,1891 per month
237,Townhouse for Rent,"3106 Mount Pleasant St NW, Washington, DC 20010",4,2.0,4975 per month
238,House for Rent,"1727 Taylor St NW, Washington, DC 20011",5,3.5,7200 per month
239,Townhouse for Rent,"1807 E St NE, Washington, DC 20002",3,1.5,3000 per month
240,Townhouse for Rent,"1846 Ingleside Terrace NW, Washington, DC 20010",4,2.5,4800 per month
241,Townhouse for Rent,"26 P St NE Unit 4, Washington, DC 20002",3,3.0,3850 per month
242,Townhouse for Rent,"641 Lamont St NW Unit A, Washington, DC 20010",2,2.5,3400 per month
243,House for Rent,"1887 Savannah Place SE, Washington, DC 20020",3,2.0,2500 per month
244,Townhouse for Rent,"3321 11th St NW Unit 4, Washington, DC 20010",2,2.0,3050 per month
245,Townhouse for Rent,"3321 11th St NW Unit 3, Washington, DC 20010",2,2.0,2925 per month
246,Townhouse for Rent,"3321 11th St NW Unit 2, Washington, DC 20010",2,2.0,2975 per month
247,Townhouse for Rent,"1227 Linden Place NE, Washington, DC 20002",2,2.5,3100 per month
248,Townhouse for Rent,"1431 S St SE, Washington, DC 20020",4,2.0,2995 per month
