,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
49,Townhouse,"8046 Reserve Way, Vienna, VA 22182",3,2.5,4000,Vienna,VA,22182,38.936,-77.2729
50,Townhouse,"8043 Reserve Way, Vienna, VA 22182",4,3.5,4200,Vienna,VA,22182,38.936,-77.2729
51,House,"1720 Beulah Rd, Vienna, VA 22182",3,3.0,3700,Vienna,VA,22182,38.936,-77.2729
52,Townhouse,"2104 Eluna Ct, Vienna, VA 22182",3,3.5,3400,Vienna,VA,22182,38.936,-77.2729
53,Townhouse,"2013 Gallows Tree Ct, Vienna, VA 22182",3,4.0,3700,Vienna,VA,22182,38.936,-77.2729
54,Townhouse,"1803 Fawncrest Ct, Vienna, VA 22182",3,4.0,4300,Vienna,VA,22182,38.936,-77.2729
55,House,"8316 Idylwood Rd, Vienna, VA 22182",4,4.0,4500,Vienna,VA,22182,38.936,-77.2729
56,Townhouse,"8844 Mansion View Ct, Vienna, VA 22182",3,3.5,3695,Vienna,VA,22182,38.936,-77.2729
57,House,"8811 Higdon Dr, Vienna, VA 22182",4,2.5,3300,Vienna,VA,22182,38.936,-77.2729
58,Townhouse,"8104 Meadow Springs Ct, Vienna, VA 22182",3,2.5,3995,Vienna,VA,22182,38.936,-77.2729
59,Townhouse,"2305 Mcgregor Ct, Vienna, VA 22182",4,3.5,3095,Vienna,VA,22182,38.936,-77.2729
60,Townhouse,"8021 Kidwell Ct Unit 1514N, Vienna, VA 22182",3,2.5,3347,Vienna,VA,22182,38.936,-77.2729
61,House,"1511 Gingerwood Ct, Vienna, VA 22182",4,4.0,3999,Vienna,VA,22182,38.936,-77.2729
62,Townhouse,"8064 Criaza Branch Ct, Vienna, VA 22182",3,2.5,3995,Vienna,VA,22182,38.936,-77.2729
63,Townhouse,"8512 Harvest Oak Dr, Vienna, VA 22182",4,3.5,3850,Vienna,VA,22182,38.936,-77.2729
64,Townhouse,"8014 Rachelle Place, Vienna, VA 22182",3,4.0,3250,Vienna,VA,22182,38.936,-77.2729
65,Townhouse,"8528 Raglan Rd, Vienna, VA 22182",3,3.5,3400,Vienna,VA,22182,38.936,-77.2729
66,Townhouse,"2311 Mcgregor Ct, Vienna, VA 22182",3,2.5,3800,Vienna,VA,22182,38.936,-77.2729
67,Townhouse,"8510 Harvest Oak Dr, Vienna, VA 22182",3,3.5,4200,Vienna,VA,22182,38.936,-77.2729
68,Townhouse,"8504 Jeffersonian Ct, Vienna, VA 22182",4,3.5,3900,Vienna,VA,22182,38.936,-77.2729
69,House,"1534 Red Rock Ct, Vienna, VA 22182",4,3.5,4500,Vienna,VA,22182,38.936,-77.2729
70,Townhouse,"2013 Approach Ln, Reston, VA 20191",3,2.5,2750,Reston,VA,20191,38.934,-77.3516
71,Townhouse,"2281 Emerald Heights Ct, Reston, VA 20191",3,2.5,2500,Reston,VA,20191,38.934,-77.3516
72,House,"2123 Owls Cove Ln, Reston, VA 20191",3,2.0,3700,Reston,VA,20191,38.934,-77.3516
73,Townhouse,"2042 Headlands Cir, Reston, VA 20191",3,3.5,2900,Reston,VA,20191,38.934,-77.3516
74,Townhouse,"2038 Swans Neck Way, Reston, VA 20191",3,3.5,2925,Reston,VA,20191,38.934,-77.3516
75,Townhouse,"11866 Saint Trinians Ct, Reston, VA 20191",3,3.5,2895,Reston,VA,20191,38.934,-77.3516
76,Townhouse,"2318 Millennium Ln, Reston, VA 20191",4,3.5,3800,Reston,VA,20191,38.934,-77.3516
77,Townhouse,"2306 Emerald Heights Ct, Reston, VA 20191",3,4.0,2650,Reston,VA,20191,38.934,-77.3516
78,Townhouse,"11114 Lakespray Way, Reston, VA 20191",3,3.5,3800,Reston,VA,20191,38.934,-77.3516
79,Townhouse,"11720 Dry River Ct, Reston, VA 20191",3,4.0,3000,Reston,VA,20191,38.934,-77.3516
80,Townhouse,"2271 Coppersmith Square, Reston, VA 20191",3,2.5,2400,Reston,VA,20191,38.934,-77.3516
81,House,"2004 Halyard Ln, Reston, VA 20191",4,3.5,5000,Reston,VA,20191,38.934,-77.3516
82,Townhouse,"11996 Sentinel Point Ct, Reston, VA 20191",3,2.5,2850,Reston,VA,20191,38.934,-77.3516
83,Townhouse,"2325 Glade Bank Way, Reston, VA 20191",3,2.5,2950,Reston,VA,20191,38.934,-77.3516
84,House,"2509 Foxcroft Way, Reston, VA 20191",4,3.0,3500,Reston,VA,20191,38.934,-77.3516
85,Townhouse,"2168 Golf Course Dr, Reston, VA 20191",3,4.0,3250,Reston,VA,20191,38.934,-77.3516
86,Townhouse,"11014 Granby Ct, Reston, VA 20191",3,3.5,2800,Reston,VA,20191,38.934,-77.3516
87,House,"7813 Mulberry Bottom Ln, Springfield, VA 22153",4,2.5,3800,Springfield,VA,22153,38.7443,-77.2351
88,House,"7907 Laural Valley Way, Springfield, VA 22153",4,3.5,3850,Springfield,VA,22153,38.7443,-77.2351
89,Townhouse,"8093 Steeple Chase Ct, Springfield, VA 22153",3,3.0,2700,Springfield,VA,22153,38.7443,-77.2351
90,House,"8301 Deep Valley Ct, Springfield, VA 22153",4,3.5,3500,Springfield,VA,22153,38.7443,-77.2351
91,Townhouse,"8179 Curving Creek Ct, Springfield, VA 22153",3,2.5,2595,Springfield,VA,22153,38.7443,-77.2351
92,House,"7951 Hidden Bridge Dr, Springfield, VA 22153",3,4.0,3000,Springfield,VA,22153,38.7443,-77.2351
93,House,"7620 Maritime Ln, Springfield, VA 22153",4,3.0,3400,Springfield,VA,22153,38.7443,-77.2351
94,Townhouse,"9075 Giltinan Ct, Springfield, VA 22153",3,2.5,2900,Springfield,VA,22153,38.7443,-77.2351
95,House,"8471 Misty Blue Ct, Springfield, VA 22153",4,2.0,2995,Springfield,VA,22153,38.7443,-77.2351
96,House,"8833 Seacraft Ct, Springfield, VA 22153",4,2.5,3500,Springfield,VA,22153,38.7443,-77.2351
97,Townhouse,"8028 Sleepy View Ln, Springfield, VA 22153",3,3.5,3000,Springfield,VA,22153,38.7443,-77.2351
98,Townhouse,"8914 Grandstaff Ct, Springfield, VA 22153",3,3.5,3300,Springfield,VA,22153,38.7443,-77.2351
99,Townhouse,"7962 Forest Path Way, Springfield, VA 22153",3,4.0,2600,Springfield,VA,22153,38.7443,-77.2351
100,House,"5825 Biscayne Dr, Alexandria, VA 22303",4,2.0,3000,Alexandria,VA,22303,38.7942,-77.0855
101,Townhouse,"3858 Elmwood Towne Way, Alexandria, VA 22303",3,3.5,3595,Alexandria,VA,22303,38.7942,-77.0855
102,House,"5819 Fifer Dr, Alexandria, VA 22303",3,2.0,2850,Alexandria,VA,22303,38.7942,-77.0855
103,House,"6118 Bangor Dr, Alexandria, VA 22303",4,2.0,2750,Alexandria,VA,22303,38.7942,-77.0855
104,Townhouse,"2111 Hardbower Way, Alexandria, VA 22303",3,3.5,5800,Alexandria,VA,22303,38.7942,-77.0855
