,Title,Address,Bedroom,Bathroom,Price,City,State,Zipcode,Latitude ,Longitude 
50,Townhouse,"13150 Ashnut Ln, Herndon, VA 20171",3,3.5,2850,Herndon,VA,20171,38.9233,-77.3979
51,Townhouse,"13943 Airfoil Rd, Herndon, VA 20171",4,4.5,2950,Herndon,VA,20171,38.9233,-77.3979
52,Townhouse,"13689 Neil Armstrong Ave, Herndon, VA 20171",4,4.5,4100,Herndon,VA,20171,38.9233,-77.3979
53,Townhouse,"13364 Sherwood Park Ln, Herndon, VA 20171",4,4.5,3490,Herndon,VA,20171,38.9233,-77.3979
54,Townhouse,"13339 Misty Dawn Dr, Herndon, VA 20171",3,3.5,2900,Herndon,VA,20171,38.9233,-77.3979
55,Townhouse,"2511 Golden Harvest Ct, Herndon, VA 20171",3,2.5,2650,Herndon,VA,20171,38.9233,-77.3979
56,Townhouse,"13340 Sherwood Park Ln, Herndon, VA 20171",3,5.0,3400,Herndon,VA,20171,38.9233,-77.3979
57,Townhouse,"2414 Curie Ct Unit 39, Herndon, VA 20171",3,2.5,2600,Herndon,VA,20171,38.9233,-77.3979
58,Townhouse,"2408 Simpkins Farm Dr, Herndon, VA 20171",3,6.0,2999,Herndon,VA,20171,38.9233,-77.3979
59,Townhouse,"2706 Jetstream Rd, Herndon, VA 20171",3,3.5,3300,Herndon,VA,20171,38.9233,-77.3979
60,Townhouse,"2434 Old Farmhouse Ct, Herndon, VA 20171",3,3.5,2690,Herndon,VA,20171,38.9233,-77.3979
61,House,"3215 Spring Rain Ct, Herndon, VA 20171",6,4.5,5200,Herndon,VA,20171,38.9233,-77.3979
62,Townhouse,"13202 Windy Oak Way, Herndon, VA 20171",3,3.5,3150,Herndon,VA,20171,38.9233,-77.3979
63,House,"12769 Flat Meadow Ln, Herndon, VA 20171",4,2.5,3675,Herndon,VA,20171,38.9233,-77.3979
64,Townhouse,"2527 Banshire Dr, Herndon, VA 20171",3,2.5,2800,Herndon,VA,20171,38.9233,-77.3979
65,House,"3028 Leefield Dr, Herndon, VA 20171",4,4.5,5500,Herndon,VA,20171,38.9233,-77.3979
66,Townhouse,"13660 Endeavour Dr Unit 20C, Herndon, VA 20171",3,2.5,2650,Herndon,VA,20171,38.9233,-77.3979
67,Townhouse,"2435 Liberty Loop, Herndon, VA 20171",3,4.0,3500,Herndon,VA,20171,38.9233,-77.3979
68,Townhouse,"13929 Airfoil Rd, Herndon, VA 20171",3,5.0,3200,Herndon,VA,20171,38.9233,-77.3979
69,Townhouse,"2515 Isham Randolph Dr, Herndon, VA 20171",3,3.5,2500,Herndon,VA,20171,38.9233,-77.3979
70,Townhouse,"2555 Thorncroft Place, Herndon, VA 20171",3,2.5,2800,Herndon,VA,20171,38.9233,-77.3979
71,Townhouse,"13517 Bannacker Place, Herndon, VA 20171",3,4.0,2600,Herndon,VA,20171,38.9233,-77.3979
72,Townhouse,"13142 Copper Brook Way, Herndon, VA 20171",3,4.0,2700,Herndon,VA,20171,38.9233,-77.3979
73,Townhouse,"2523 James Maury Dr, Herndon, VA 20171",2,2.5,2850,Herndon,VA,20171,38.9233,-77.3979
74,Townhouse,"2501 Bronze Stone Place, Herndon, VA 20171",4,4.0,2750,Herndon,VA,20171,38.9233,-77.3979
75,House,"1710 Palm Springs Dr, Vienna, VA 22182",4,2.5,3750,Vienna,VA,22182,38.936,-77.2729
76,Townhouse,"8046 Reserve Way, Vienna, VA 22182",3,2.5,4000,Vienna,VA,22182,38.936,-77.2729
77,Townhouse,"8043 Reserve Way, Vienna, VA 22182",4,3.5,4200,Vienna,VA,22182,38.936,-77.2729
78,House,"1720 Beulah Rd, Vienna, VA 22182",3,3.0,3700,Vienna,VA,22182,38.936,-77.2729
79,House,"10418 Willow Crest Ct, Vienna, VA 22182",6,4.5,7900,Vienna,VA,22182,38.936,-77.2729
80,House,"1721 Pebble Beach Dr, Vienna, VA 22182",5,3.5,4500,Vienna,VA,22182,38.936,-77.2729
81,Townhouse,"2104 Eluna Ct, Vienna, VA 22182",3,3.5,3400,Vienna,VA,22182,38.936,-77.2729
82,Townhouse,"2013 Gallows Tree Ct, Vienna, VA 22182",3,4.0,3700,Vienna,VA,22182,38.936,-77.2729
83,Townhouse,"1803 Fawncrest Ct, Vienna, VA 22182",3,4.0,4300,Vienna,VA,22182,38.936,-77.2729
84,House,"8316 Idylwood Rd, Vienna, VA 22182",4,4.0,4500,Vienna,VA,22182,38.936,-77.2729
85,Townhouse,"8844 Mansion View Ct, Vienna, VA 22182",3,3.5,3695,Vienna,VA,22182,38.936,-77.2729
86,House,"1751 Tysons Crest Ln, Vienna, VA 22182",6,5.5,7500,Vienna,VA,22182,38.936,-77.2729
87,House,"8811 Higdon Dr, Vienna, VA 22182",4,2.5,3300,Vienna,VA,22182,38.936,-77.2729
88,House,"8207 Madrillon Estates Dr, Vienna, VA 22182",5,4.5,5500,Vienna,VA,22182,38.936,-77.2729
89,House,"10220 Cedar Pond Dr, Vienna, VA 22182",6,4.5,5990,Vienna,VA,22182,38.936,-77.2729
90,Townhouse,"8104 Meadow Springs Ct, Vienna, VA 22182",3,2.5,3995,Vienna,VA,22182,38.936,-77.2729
91,Townhouse,"2305 Mcgregor Ct, Vienna, VA 22182",4,3.5,3095,Vienna,VA,22182,38.936,-77.2729
92,Townhouse,"8021 Kidwell Ct Unit 1514N, Vienna, VA 22182",3,2.5,3347,Vienna,VA,22182,38.936,-77.2729
93,House,"1511 Gingerwood Ct, Vienna, VA 22182",4,4.0,3999,Vienna,VA,22182,38.936,-77.2729
94,Townhouse,"8064 Criaza Branch Ct, Vienna, VA 22182",3,2.5,3995,Vienna,VA,22182,38.936,-77.2729
95,House,"2357 Central Ave, Vienna, VA 22182",7,4.5,4500,Vienna,VA,22182,38.936,-77.2729
96,House,"10000 Cloverdale Place, Vienna, VA 22182",5,4.5,7995,Vienna,VA,22182,38.936,-77.2729
97,Townhouse,"8512 Harvest Oak Dr, Vienna, VA 22182",4,3.5,3850,Vienna,VA,22182,38.936,-77.2729
98,Townhouse,"8014 Rachelle Place, Vienna, VA 22182",3,4.0,3250,Vienna,VA,22182,38.936,-77.2729
99,Townhouse,"8528 Raglan Rd, Vienna, VA 22182",3,3.5,3400,Vienna,VA,22182,38.936,-77.2729
100,Townhouse,"2311 Mcgregor Ct, Vienna, VA 22182",3,2.5,3800,Vienna,VA,22182,38.936,-77.2729
101,Townhouse,"8510 Harvest Oak Dr, Vienna, VA 22182",3,3.5,4200,Vienna,VA,22182,38.936,-77.2729
102,Townhouse,"8504 Jeffersonian Ct, Vienna, VA 22182",4,3.5,3900,Vienna,VA,22182,38.936,-77.2729
103,House,"1534 Red Rock Ct, Vienna, VA 22182",4,3.5,4500,Vienna,VA,22182,38.936,-77.2729
